reorder_point,order_quantity,avg_service_level_pct,avg_stockout_days,avg_total_cost_gbp,avg_holding_cost_gbp,avg_ordering_cost_gbp,avg_shortage_cost_gbp,avg_num_orders,verdict
200,1500,53.31,42.0,58468.82,16462.83,775.0,41231.0,7.75,needs improvement
400,1500,59.0,36.9,54776.82,18023.83,815.0,35938.0,8.15,needs improvement
600,1500,65.33,31.2,50734.25,20128.75,900.0,29705.5,9.0,needs improvement
800,1500,73.88,23.5,46812.07,24011.08,975.0,21826.0,9.75,needs improvement
1000,1500,80.55,17.5,44658.32,28596.08,1050.0,15012.25,10.5,needs improvement
1200,1500,87.39,11.35,44978.53,34210.53,1110.0,9658.0,11.1,needs improvement
